title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Measurement-induced phase transition in periodically driven free-fermionic systems,"P Chatterjee, R Modak",2025,12,"… ϵ promotes the area-law entanglement phase, and if one … the scaling is logarithmic (not volume law), we also perform an … , the measurementinduced critical-to-area-law phase transition …",5WQ4SUCrxmgJ,"P Chatterjee, R Modak - Physical Review B, 2025 - APS",[],https://link.aps.org/doi/10.1103/8l26-c7cv,unknown,unknown
Measurement-induced entanglement phase transitions in variational quantum circuits,"R Wiersema, C Zhou, JF Carrasquilla, YB Kim",2023,29,"… Ansatz (HEA), we observe a measurement-induced entanglement transition from volume-law to area-law with increasing measurement rate. Moreover, we provide evidence that the …",XmuqbyWFUGgJ,"R Wiersema, C Zhou, JF Carrasquilla, YB Kim - SciPost Physics, 2023 - scipost.org",[],https://www.scipost.org/SciPostPhys.14.6.147?acad_field_slug=all,unknown,unknown
Measurement-induced phase transition in free bosons,"K Yokomizo, Y Ashida",2025,20,"… can lead to the transition of the entanglement scaling from the volume law to the area law [3–… Indeed, we find that the entanglement scaling changes from the area law to the subvolume …",wv9wbjBi-DQJ,"K Yokomizo, Y Ashida - Physical Review B, 2025 - APS",[],https://link.aps.org/doi/10.1103/y5r3-tv78,unknown,unknown
Measurement-induced spectral transition,"K Mochizuki, R Hamazaki",2025,12,"… phases, respectively, correspond to the volume-law and area-… -state transitions, such as the extensive entanglement and the … indicator for the measurement-induced phase transition, we …",jRADPFr2mr0J,"K Mochizuki, R Hamazaki - Physical Review Letters, 2025 - APS",[],https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.134.010410,unknown,unknown
Measurement-driven phase transition within a volume-law entangled phase,S Vijay,2005,63,"… We identify a phase transition between two kinds of volume-law entangled phases in non-local but few-body unitary dynamics with local projective measurements. In one phase, a finite …",-e19jM80pQwJ,"S Vijay - arXiv preprint arXiv:2005.03052, 2020 - arxiv.org",[],https://arxiv.org/abs/2005.03052,unknown,unknown
Driven critical dynamics in measurement-induced phase transitions,"W Wang, S Liu, J Li, SX Zhang, S Yin",2024,7,"… dynamic scaling theory of this newfashioned entanglement transition, we bring a new … measurement-induced phase transition (MIPT), separating a volume-law phase of entanglement …",6xYS1Q7OSAMJ,"W Wang, S Liu, J Li, SX Zhang, S Yin - arXiv preprint arXiv:2411.06648, 2024 - arxiv.org",[],https://arxiv.org/abs/2411.06648,unknown,unknown
Exponential shortcut to measurement-induced entanglement phase transitions,"AG Moghaddam, K Pöyhönen, T Ojanen",2023,31,"… In particular, in the absence of measurements (p = 0), we find that the steady-state wave function becomes maximally entangled, obeying an entanglement volumelaw scaling SvN ∝ Ls…",riH-Xls1IhcJ,"AG Moghaddam, K Pöyhönen, T Ojanen - Physical Review Letters, 2023 - APS",[],https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.131.020401,unknown,unknown
Localizable Entanglement as an Order Parameter for Measurement-Induced Phase Transitions,"S Manna, A Lakshminarayan, V Madhok",2026,0,… readout of entanglement redistribution across the transition. … known as measurement-induced phase transitions (MIPT) [1–… a volume-law entangled phase and an arealaw disentangled …,7Ak3ELSsmGwJ,"S Manna, A Lakshminarayan, V Madhok - arXiv preprint arXiv:2601.14185, 2026 - arxiv.org",[],https://arxiv.org/abs/2601.14185,unknown,unknown
Multipartite entanglement in the measurement-induced phase transition of the quantum Ising chain,"A Paviglianiti, A Silva",2023,71,"… We point out that often states with volume law entanglement entropy have a bounded QFI density, especially in the long-time unitary dynamics following a quantum quench [79]. This …",pAg22_4Av10J,"A Paviglianiti, A Silva - Physical Review B, 2023 - APS",[],https://journals.aps.org/prb/abstract/10.1103/PhysRevB.108.184302,unknown,unknown
Protect measurement-induced phase transition from noise,"D Qian, J Wang",2025,10,"… measurement-induced phase transition (MIPT). However, typical decoherence noise disrupts the volume-law phase… Minnich, Measurement-induced entanglement phase transition on a …",5T_Rkn38X3kJ,"D Qian, J Wang - Physical Review Letters, 2025 - APS",[],https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.134.020403,unknown,unknown
