id,title,authors,abstract,categories,published,url,resource_uri,no,total_results
2510.20309v2,Coexisting Massive and Massless Dirac Fermions in Moire'-Reconstructed Bilayer Graphene,"['Mohit Kumar Jat', 'Kenji Watanabe', 'Takashi Taniguchi', 'Aveek Bid']","We report the emergence of massless Dirac fermions in moiré-reconstructed bands of bilayer graphene (BLG) aligned with hexagonal boron nitride (hBN). Magnetotransport measurements reveal that while the primary BLG band retains a parabolic dispersion with a Berry phase of $2π$, the moiré-induced secondary bands at $n/n_0 = \pm 4$ host chiral massless quasiparticles with a Berry phase $π$ and a Fermi velocity $v_m \approx 3.6 \times 10^5 \mathrm{m s^{-1}}$. This transition from massive to massless carriers arises from topological band reconstruction driven by the hBN moiré potential. Our results demonstrate that moiré engineering in BLG/hBN offers a powerful route to tune band topology and realize coexisting Dirac and massive fermions within a single crystalline platform.","['cond-mat.mes-hall', 'cond-mat.mtrl-sci']",2025-10-23T08:01:39+00:00,https://arxiv.org/pdf/2510.20309v2,arxiv://2510.20309v2,11,20
2510.19459v2,Absence of measurement- and unraveling-induced entanglement transitions in continuously monitored one-dimensional free fermions,"['Clemens Niederegger', 'Tatiana Vovk', 'Elias Starchl', 'Lukas M. Sieberer']","Continuous monitoring of one-dimensional free fermionic systems can generate phenomena reminiscent of quantum criticality, such as logarithmic entanglement growth, algebraic correlations, and emergent conformal invariance, but in a nonequilibrium setting. However, whether these signatures reflect a genuine phase of nonequilibrium quantum matter or persist only over finite length scales is an active area of research. We address this question in a free fermionic chain subject to continuous monitoring of lattice-site occupations. An unraveling phase $\varphi$ interpolates between measurement schemes, corresponding to different stochastic unravelings of the same Lindblad master equation: For $\varphi = 0$, measurements disentangle lattice sites, while for $\varphi = π/2$ they act as unitary random noise, yielding volume-law steady-state entanglement. Using replica Keldysh field theory, we obtain a nonlinear sigma model describing the long-wavelength physics. This analysis shows that for $0 \leq \varphi < π/2$, entanglement ultimately obeys an area law, but only beyond the exponentially large scale $\ln(l_{\varphi,*}) \sim J/[γ\cos(\varphi)]$, where $J$ is the hopping amplitude and $γ$ the measurement rate. Resolving $l_{\varphi, *}$ in numerical simulations is difficult for $γ/J \to 0$ or $\varphi \to π/2$. However, the theory also predicts that critical-like behavior appears below a crossover scale that grows only algebraically in $J/γ$, making it numerically accessible. Our simulations confirm these predictions, establishing the absence of measurement- or unraveling-induced entanglement transitions in this model.","['quant-ph', 'cond-mat.stat-mech']",2025-10-22T10:46:07+00:00,https://arxiv.org/pdf/2510.19459v2,arxiv://2510.19459v2,12,20
2509.16758v2,Error stabilized logical qubits in qudit generalizations of the monitored Kitaev model,"['Aayush Vijayvargia', 'Ezra Day-Roberts', 'Onur Erten']","Monitored dynamics in quantum circuits provide tunable platforms for the realization of novel non-equilibrium phases. Motivated by recent advances in monitored Kitaev circuits, we investigate the monitored dynamics of the qudit ($d=4$) generalizations of the Kitaev model on the honeycomb and square lattices. In the absence of additional perturbations, the measurement-only dynamics of these models map onto multi-flavor loop models and display either critical or area-law entanglement scaling. Magnetic field terms couple different flavors and when measured with sufficiently large probability, they enhance the stability of the area-law phase that hosts the logical qubits. In a circuit picture, these terms correspond to single-qubit measurements and can be interpreted as errors. We also examine the impact of two-qubit measurements that commute with the plaquette operator, which induce effective non-quadratic interactions between Majorana fermions. These interactions can drive a transition to a volume-law-entangled phase and, for sufficiently strong coupling, stabilize a distinct area-law phase with an additional logical qubit for the square lattice model. Our results reveal a rich interplay between quantum spin liquids and monitored circuit dynamics, highlighting new mechanisms for engineering and controlling entanglement phases in multi-flavor Majorana systems.","['quant-ph', 'cond-mat.str-el']",2025-09-20T17:48:10+00:00,https://arxiv.org/pdf/2509.16758v2,arxiv://2509.16758v2,13,20
2509.08584v1,Spectral Transitions of the Entanglement Hamiltonian in Monitored Free Fermions,"['Karim Chahine', 'Michael Buchhold']","We numerically investigate measurement-induced phase transitions in monitored free fermions through the spectral and eigenstate properties of the entanglement Hamiltonian. By analyzing entanglement scaling, we identify three non-trivial fixed points, for which the entanglement follows exact analytical scaling forms: chaotic unitary dynamics at infinitesimal monitoring, characterized by a Gaussian Page law; a Fermi-liquid fixed point at moderate monitoring, defining a metallic phase with logarithmic entanglement growth and emergent space-time invariance; and a quantum Lifshitz fixed point marking the measurement-induced phase transition into a localized area-law phase. Adopting a random-matrix perspective on the entanglement Hamiltonian, we show that short-range spectral correlations, such as the adjacent gap ratio $\langle \tilde r\rangle$ and the Kullback-Leibler divergence $KL_1$, sharply detect an ergodic to non-ergodic phase transition at the quantum Lifshitz fixed point, and yield precise estimates of the critical point and correlation length exponent. Long-range probes, including the spectral form factor and the associated Thouless time, corroborate this picture, while the variant $KL_2$ uncovers signatures of a possible non-ergodic extended (multifractal) regime at intermediate monitoring strengths. Together, these results establish the entanglement Hamiltonian as a powerful framework for diagnosing metallic, localized, and multifractal regimes in monitored quantum dynamics, and highlight unexpected scaling structures, Fermi-liquid and Lifshitz criticality, that lie beyond current field-theoretic approaches.","['quant-ph', 'cond-mat.dis-nn']",2025-09-10T13:32:24+00:00,https://arxiv.org/pdf/2509.08584v1,arxiv://2509.08584v1,14,20
2508.18468v3,Entanglement dynamics of monitored noninteracting fermions on graphics processing units,"['Bo Fan', 'Can Yin', 'Antonio M. García-García']","The description of the entanglement dynamics of monitored noninteracting fermions, including the existence of measurement-induced phase transitions (MIPTs), is a challenging problem with conflicting results in the literature. The mapping of the problem onto a non-linear sigma model (NLSM) indicates that relatively large lattice sizes are required to determine the nature of the entanglement entropy (EE) in the thermodynamics limit. Here we address this problem numerically for monitored noninteracting fermions with $U(1)$ symmetry. The use of graphics processing unit (GPU) techniques, even with outdated hardware, makes it possible to reach much larger lattice sizes ($L = 16384$ and $160\times160$ in one (1d) and two (2d) dimensions respectively) than in previous studies which enables us to characterize quantitatively the entanglement dynamics. In 1d, we show that in order to confirm the absence of a MIPT, for both projective and homodyne measurements, predicted by the NLSM it is necessary to reach $L \sim 10000$. In 2d, also as predicted by the NLSM, we observe for both protocols a MIPT at finite monitoring rate characterized by a scale invariant mutual information. The critical monitoring strength depends on the protocol while the critical exponent $ν\approx 1.3$ governing the approach to the MIPT is similar in both cases. These features are not correctly predicted by the NLSM. Our results paves the way for a fully quantitative description of the entanglement dynamics of monitoring quantum systems.","['quant-ph', 'hep-th']",2025-08-25T20:35:06+00:00,https://arxiv.org/pdf/2508.18468v3,arxiv://2508.18468v3,15,20
2507.12526v1,Emergence of Generic Entanglement Structure in Doped Matchgate Circuits,"['Alessio Paviglianiti', 'Luca Lumia', 'Emanuele Tirrito', 'Alessandro Silva', 'Mario Collura', 'Xhek Turkeshi', 'Guglielmo Lami']","Free fermionic Gaussian, a.k.a. matchgate, random circuits exhibit atypical behavior compared to generic interacting systems. They produce anomalously slow entanglement growth, characterized by diffusive scaling $S(t) \sim \sqrt{t}$, and evolve into volume-law entangled states at late times, $S \sim N$, which are highly unstable to measurements. Here, we investigate how doping such circuits with non-Gaussian resources (gates) restores entanglement structures of typical dynamics. We demonstrate that ballistic entanglement growth $S(t) \sim t$ is recovered after injecting an extensive total amount of non-Gaussian gates, also restoring Kardar-Parisi-Zhang fluctuations. When the evolution is perturbed with measurements, we uncover a measurement-induced phase transition between an area-law and a power-law entangled phase, $S \sim N^α$, with $α$ controlled by the doping. A genuine volume-law entangled phase is recovered only when non-Gaussian gates are injected at an extensive rate. Our findings bridge the dynamics of free and interacting fermionic systems, identifying non-Gaussianity as a key resource driving the emergence of non-integrable behavior.","['quant-ph', 'cond-mat.stat-mech', 'cond-mat.str-el']",2025-07-16T18:00:02+00:00,https://arxiv.org/pdf/2507.12526v1,arxiv://2507.12526v1,16,20
2507.11312v1,Mesoscopic Fluctuations and Multifractality at and across Measurement-Induced Phase Transition,"['Igor Poboiko', 'Igor V. Gornyi', 'Alexander D. Mirlin']","We explore statistical fluctuations over the ensemble of quantum trajectories in a model of two-dimensional free fermions subject to projective monitoring of local charge across the measurement-induced phase transition. Our observables are the particle-number covariance between spatially separated regions, $G_{AB}$, and the two-point density correlation function, $\mathcal{C}(r)$. Our results exhibit a remarkable analogy to Anderson localization, with $G_{AB}$ corresponding to two-terminal conductance and $\mathcal{C}(r)$ to two-point conductance, albeit with different replica limit and unconventional symmetry class, geometry, and boundary conditions. In the delocalized phase, $G_{AB}$ exhibits ``universal'', nearly Gaussian, fluctuations with variance of order unity. In the localized phase, we find a broad distribution of $G_{AB}$ with $\overline{-\ln G_{AB}} \sim L $ (where $L$ is the system size) and the variance $\mathrm{var}(\ln G_{AB}) \sim L^μ$, and similarly for $\mathcal{C}(r)$, with $μ\approx 0.5$. At the transition point, the distribution function of $G_{AB}$ becomes scale-invariant and $\mathcal{C}(r)$ exhibits multifractal statistics, $\overline{\mathcal{C}^{q}(r)}\sim r^{-q(d+1) - Δ_{q}}$. We characterize the spectrum of multifractal dimensions $Δ_q$. Our findings lay the groundwork for mesoscopic theory of monitored systems, paving the way for various extensions.","['quant-ph', 'cond-mat.dis-nn', 'cond-mat.mes-hall']",2025-07-15T13:44:14+00:00,https://arxiv.org/pdf/2507.11312v1,arxiv://2507.11312v1,17,20
2507.07187v2,Lindbladian versus Postselected Non-Hermitian Topology,"['Alexandre Chaduteau', 'Derek K. K. Lee', 'Frank Schindler']","The recent topological classification of non-Hermitian `Hamiltonians' is usually interpreted in terms of pure quantum states that decay or grow with time. However, many-body systems with loss and gain are typically better described by mixed-state open quantum dynamics, which only correspond to pure-state non-Hermitian dynamics upon a postselection of measurement outcomes. Since postselection becomes exponentially costly with particle number, we here investigate to what extent the most important example of non-Hermitian topology can survive without it: the non-Hermitian skin effect and its relationship to a bulk winding number in one spatial dimension. After defining the winding number of the Lindbladian superoperator for a quadratic fermion system, we systematically relate it to the winding number of the associated postselected non-Hermitian Hamiltonian. We prove that the two winding numbers are equal (opposite) in the absence of gain (loss), and provide a physical explanation for this relationship. When both loss and gain are present, the Lindbladian winding number typically remains quantized and non-zero, though it can change sign at a phase transition separating the loss and gain-dominated regimes. This transition, which leads to a reversal of the Lindbladian skin effect localization, is rendered invisible by postselection. We also identify a case where removing postselection induces a skin effect from otherwise topologically trivial non-Hermitian dynamics.","['quant-ph', 'cond-mat.mes-hall', 'cond-mat.str-el']",2025-07-09T18:01:22+00:00,https://arxiv.org/pdf/2507.07187v2,arxiv://2507.07187v2,18,20
2507.07179v1,Magic phase transitions in monitored gaussian fermions,"['Emanuele Tirrito', 'Luca Lumia', 'Alessio Paviglianiti', 'Guglielmo Lami', 'Alessandro Silva', 'Xhek Turkeshi', 'Mario Collura']","Monitored quantum systems, where unitary dynamics compete with continuous measurements, exhibit dynamical transitions as the measurement rate is varied. These reflect abrupt changes in the structure of the evolving wavefunction, captured by complementary complexity diagnostics that include and go beyond entanglement aspects. Here, we investigate how monitoring affects magic state resources, the nonstabilizerness, of Gaussian fermionic systems. Using scalable Majorana sampling techniques, we track the evolution of stabilizer Rényi entropies in large systems under projective measurements. While the leading extensive (volume-law) scaling of magic remains robust across all measurement rates, we uncover a sharp transition in the subleading logarithmic corrections. This measurement-induced complexity transition, invisible to standard entanglement probes, highlights the power of magic-based diagnostics in revealing hidden features of monitored many-body dynamics.","['quant-ph', 'cond-mat.quant-gas', 'cond-mat.stat-mech', 'cond-mat.str-el']",2025-07-09T18:00:02+00:00,https://arxiv.org/pdf/2507.07179v1,arxiv://2507.07179v1,19,20
2505.09351v2,Boosted magnetic fluctuations at the onset of superconductivity in UTe$_2$ beyond 40 T,"['T. Thebault', 'K. Somesh', 'G. Lapertot', 'M. Nardone', 'A. Zitouni', 'M. Barragan', 'J. Béard', 'J. Billette', 'F. Lecouturier', 'S. Tardieu', 'D. Aoki', 'G. Knebel', 'D. Braithwaite', 'W. Knafo']","Several unconventional superconducting phases have been discovered close to a metamagnetic transition in the heavy-fermion compound UTe$_2$. Although suspected to be of magnetic nature, the mechanisms stabilizing these superconducting phases remain mysterious. Here, we present electrical-resistivity measurements on UTe$_2$, with a current $\mathbf{I}\parallel\mathbf{a}$ and under pulsed magnetic fields up to 60~T rotating in the ($\mathbf{b}$,$\mathbf{c}$) plane. We find that the maximum of the Fermi-liquid coefficient $A$ at the metamagnetic transition is enhanced under magnetic fields tilted by $30-40~^\circ$ from $\mathbf{b}$ to $\mathbf{c}$. The enhancement of $A$ coincides with the stabilization of superconductivity in the polarized paramagnetic regime beyond the metamagnetic field $μ_0H_m\gtrsim40$~T. It is the signature of a boosted quantum-critical magnetic-fluctuation mode probably in play for the mechanism of this superconducting phase. This result appeals for descriptions of the interplay between magnetic-field-induced superconductivity and quantum critical magnetic properties.","['cond-mat.str-el', 'cond-mat.supr-con']",2025-05-14T12:58:48+00:00,https://arxiv.org/pdf/2505.09351v2,arxiv://2505.09351v2,20,20
