title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
On superselection rules in Bohm–Bell theories,"S Colin, T Durt, R Tumulka",2006.0,20,"… for nonrelativistic quantum mechanics), Bell’s jump process for lattice quantum … a simple Bell-type quantum field theory discussed in detail in [14], with two particle species, one fermionic …",jlkgiZbmrcAJ,"S Colin, T Durt, R Tumulka - … of Physics A: Mathematical and …, 2006 - iopscience.iop.org",[],https://iopscience.iop.org/article/10.1088/0305-4470/39/50/008/meta,unknown,unknown
The zig-zag road to reality,"S Colin, HM Wiseman",2011.0,15,"… the Bell-type model [9]. However, all pilot-wave models for quantum field theory of fermions that … point-like beables: the jiggling between the zig and the zag motion is provided by a jump-…",7vfzYUmxN10J,"S Colin, HM Wiseman - … Physics A: Mathematical and Theoretical, 2011 - iopscience.iop.org",[],https://iopscience.iop.org/article/10.1088/1751-8113/44/34/345304/meta,unknown,unknown
"Complex charges, time reversal asymmetry, and interior-boundary conditions in quantum field theory",R Tumulka,,0,"… constant that we will call the charge of fermion number j , and a(x… Markovian jump process is again a Markovian jump process. … process is closely related to processes known as Bell-type …",oC8IFz1Nmh8J,R Tumulka - Journal of Physics A: Mathematical and Theoretical - academia.edu,[],https://www.academia.edu/download/73285808/pdf.pdf,unknown,unknown
Bohmian trajectories for Hamiltonians with interior-boundary conditions,"D Dürr, S Goldstein, S Teufel, R Tumulka…",2018.0,19,"… regarded as instances of Bell-type quantum field theories [4, … therein, or assuming that fermions have beables but bosons … in the process is connected to the jumps; between jumps, the …",zqRX3AsT484J,"D Dürr, S Goldstein, S Teufel, R Tumulka… - arXiv preprint arXiv …, 2018 - arxiv.org",[],https://arxiv.org/abs/1809.10235,unknown,unknown
Particle creation and annihilation: two Bohmian approaches,A Oldofredi,2018.0,7,"… of elementary fermions (fermionic fields, particles are not localized point-size object but … observed in Quantum Field Theory (QFT): the so-called Bell-type Quantum Field Theory and …",tepmVdwg9mwJ,"A Oldofredi - Latosensu, 2018 - serval.unil.ch",[],https://serval.unil.ch/resource/serval:BIB_F18F5C431263.P001/REF.pdf,unknown,unknown
Simulating nelsonian quantum field theory,A Carosso,2024.0,2,"… field theory, and we will comment on the account of particle creation as well as the extension to fermionic field theory… count the average number of anomalous jumps per unit time as a …",YCnI8cbA6MUJ,"A Carosso - Foundations of Physics, 2024 - Springer",[],https://link.springer.com/article/10.1007/s10701-024-00766-6,unknown,unknown
"Complex charges, time reversal asymmetry, and interior-boundary conditions in quantum field theory","J Schmidt, R Tumulka",2019.0,12,"… absorption of bosons by fermions with complex charges … process, we begin by noting that the reverse $\hat Q_t=Q_{-t}$ of a Markovian jump process is again a Markovian jump process. …",omu2BoazsfEJ,"J Schmidt, R Tumulka - … Physics A: Mathematical and Theoretical, 2019 - iopscience.iop.org",[],https://iopscience.iop.org/article/10.1088/1751-8121/ab034c/meta,unknown,unknown
The dissipative approach to quantum field theory: conceptual foundations and ontological implications,"A Oldofredi, HC Öttinger",2021.0,25,"… about bosons and fermions, however, we … jumps of |ϕ j > and |ψ j >, at times t j , between these jumps the states and their trajectories in Fock space evolve according to the two-process …",NhGSN5AWw6oJ,"A Oldofredi, HC Öttinger - European Journal for Philosophy of Science, 2021 - Springer",[],https://link.springer.com/article/10.1007/s13194-020-00330-9,unknown,unknown
A persistent particle ontology for quantum field theory in terms of the Dirac sea,"DA Deckert, M Esfeld…",2019.0,32,"… They also assume a finite fermion number; they are committed to positions for fermions for both positive and negative energy particles, but there are no bosons in the ontology. Anti-…",eS4RJtMfmR0J,"DA Deckert, M Esfeld… - The British Journal for the …, 2019 - journals.uchicago.edu",[],https://www.journals.uchicago.edu/doi/full/10.1093/bjps/axx018,unknown,unknown
Social laser: application of quantum information and field theories to modeling of social processes,A Khrennikov,2020.0,59,… Some cognitive experiments demonstrating the violation of Bell-type … * aˆ plays an important role in quantum field theory. This is the … If some fermion S sees in a room another fermion S …,orGaKBfCFOUJ,A Khrennikov - 2020 - api.taylorfrancis.com,[],https://api.taylorfrancis.com/content/books/mono/download?identifierName=doi&identifierValue=10.1201/9780367817206&type=googlepdf,unknown,unknown
